all_name,dma1_name,sales1_name,sales2_name,chan1_name,max,cpp,hl,hrf,wks, beta ,curvegroup_name
overall,ALBUQUERQUE/SANTA FE-NM,Parts,AAP,Terrestial Radio-Speed Perk,200,32.76928571,4,0.15,1,365,weekly
overall,ATLANTA-GA,Parts,AAP,Terrestial Radio-Speed Perk,200,213.3795699,4,0.15,1,27525,weekly
overall,AUSTIN-TX,Parts,AAP,Terrestial Radio-Speed Perk,200,108.976,4,0.15,1,4947,weekly
overall,BALTIMORE-MD,Parts,AAP,Terrestial Radio-Speed Perk,200,100.593007,4,0.15,1,10248,weekly
overall,BIRMINGHAM-AL,Parts,AAP,Terrestial Radio-Speed Perk,200,45.72413793,4,0.15,1,9377,weekly
overall,BOSTON-MA,Parts,AAP,Terrestial Radio-Speed Perk,200,222.3681713,4,0.15,1,13626,weekly
overall,CHARLOTTE-NC,Parts,AAP,Terrestial Radio-Speed Perk,200,83.06571429,4,0.15,1,15654,weekly
overall,CHICAGO-IL,Parts,AAP,Terrestial Radio-Speed Perk,200,272.0589744,4,0.15,1,18703,weekly
overall,DALLAS-TX,Parts,AAP,Terrestial Radio-Speed Perk,200,236.9065687,4,0.15,1,7978,weekly
overall,DENVER-CO,Parts,AAP,Terrestial Radio-Speed Perk,200,99.83121951,4,0.15,1,10208,weekly
overall,DETROIT-MI,Parts,AAP,Terrestial Radio-Speed Perk,200,89.16236559,4,0.15,1,6430,weekly
overall,HARRISBURG/LANCASTER-PA,Parts,AAP,Terrestial Radio-Speed Perk,200,55.68024801,4,0.15,1,10576,weekly
overall,NEW HAVEN/HARTFORD-CT,Parts,AAP,Terrestial Radio-Speed Perk,200,69.35301205,4,0.15,1,10322,weekly
overall,HOUSTON-TX,Parts,AAP,Terrestial Radio-Speed Perk,200,220.378655,4,0.15,1,11383,weekly
overall,INDIANAPOLIS-IN,Parts,AAP,Terrestial Radio-Speed Perk,200,87.63803681,4,0.15,1,6981,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Parts,AAP,Terrestial Radio-Speed Perk,200,160.4176656,4,0.15,1,22419,weekly
overall,MILWAUKEE-WI,Parts,AAP,Terrestial Radio-Speed Perk,200,84.58924731,4,0.15,1,7091,weekly
overall,TRI-STATE-NY/NJ/CT,Parts,AAP,Terrestial Radio-Speed Perk,200,345.9797101,4,0.15,1,26217,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Parts,AAP,Terrestial Radio-Speed Perk,200,86.876,4,0.15,1,22072,weekly
overall,PHILADELPHIA-PA,Parts,AAP,Terrestial Radio-Speed Perk,200,153.3914591,4,0.15,1,19492,weekly
overall,PITTSBURGH-PA,Parts,AAP,Terrestial Radio-Speed Perk,200,50.29666667,4,0.15,1,14652,weekly
overall,PORTLAND-OR,Parts,AAP,Terrestial Radio-Speed Perk,200,97.79054498,4,0.15,1,1596,weekly
overall,RALEIGH-NC,Parts,AAP,Terrestial Radio-Speed Perk,200,56.72316951,4,0.15,1,13819,weekly
overall,SALT LAKE CITY-UT,Parts,AAP,Terrestial Radio-Speed Perk,200,65.61376344,4,0.15,1,1596,weekly
overall,SAN ANTONIO-TX,Parts,AAP,Terrestial Radio-Speed Perk,200,79.62943723,4,0.15,1,5589,weekly
overall,SEATTLE-WA,Parts,AAP,Terrestial Radio-Speed Perk,200,179.9389616,4,0.15,1,1596,weekly
overall,ST. LOUIS-MO,Parts,AAP,Terrestial Radio-Speed Perk,200,97.74715909,4,0.15,1,4706,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Parts,AAP,Terrestial Radio-Speed Perk,200,70.05411197,4,0.15,1,27644,weekly
overall,WASHINGTON D.C.,Parts,AAP,Terrestial Radio-Speed Perk,200,233.9553571,4,0.15,1,27045,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Batteries,AAP,Digital Radio-Speed Perk,52544,0.004598627,4,0.15,1,8,weekly
overall,ATLANTA-GA,Batteries,AAP,Digital Radio-Speed Perk,3961957,0.004598627,4,0.15,1,1727,weekly
overall,AUSTIN-TX,Batteries,AAP,Digital Radio-Speed Perk,712072,0.004598627,4,0.15,1,305,weekly
overall,BALTIMORE-MD,Batteries,AAP,Digital Radio-Speed Perk,1475142,0.004598627,4,0.15,1,617,weekly
overall,BIRMINGHAM-AL,Batteries,AAP,Digital Radio-Speed Perk,1349695,0.004598627,4,0.15,1,551,weekly
overall,BOSTON-MA,Batteries,AAP,Digital Radio-Speed Perk,1961317,0.004598627,4,0.15,1,631,weekly
overall,CHARLOTTE-NC,Batteries,AAP,Digital Radio-Speed Perk,2253295,0.004598627,4,0.15,1,998,weekly
overall,CHICAGO-IL,Batteries,AAP,Digital Radio-Speed Perk,2692147,0.004598627,4,0.15,1,687,weekly
overall,DALLAS-TX,Batteries,AAP,Digital Radio-Speed Perk,1148339,0.004598627,4,0.15,1,429,weekly
overall,DENVER-CO,Batteries,AAP,Digital Radio-Speed Perk,1469320,0.004598627,4,0.15,1,552,weekly
overall,DETROIT-MI,Batteries,AAP,Digital Radio-Speed Perk,925499,0.004598627,4,0.15,1,300,weekly
overall,HARRISBURG/LANCASTER-PA,Batteries,AAP,Digital Radio-Speed Perk,1522325,0.004598627,4,0.15,1,508,weekly
overall,NEW HAVEN/HARTFORD-CT,Batteries,AAP,Digital Radio-Speed Perk,1485704,0.004598627,4,0.15,1,460,weekly
overall,HOUSTON-TX,Batteries,AAP,Digital Radio-Speed Perk,1638537,0.004598627,4,0.15,1,656,weekly
overall,INDIANAPOLIS-IN,Batteries,AAP,Digital Radio-Speed Perk,1004849,0.004598627,4,0.15,1,278,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Batteries,AAP,Digital Radio-Speed Perk,3226959,0.004598627,4,0.15,1,2033,weekly
overall,MILWAUKEE-WI,Batteries,AAP,Digital Radio-Speed Perk,1020683,0.004598627,4,0.15,1,198,weekly
overall,TRI-STATE-NY/NJ/CT,Batteries,AAP,Digital Radio-Speed Perk,3773757,0.004598627,4,0.15,1,1551,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Batteries,AAP,Digital Radio-Speed Perk,3177126,0.004598627,4,0.15,1,1428,weekly
overall,PHILADELPHIA-PA,Batteries,AAP,Digital Radio-Speed Perk,2805660,0.004598627,4,0.15,1,978,weekly
overall,PITTSBURGH-PA,Batteries,AAP,Digital Radio-Speed Perk,2109020,0.004598627,4,0.15,1,844,weekly
overall,PORTLAND-OR,Batteries,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,86,weekly
overall,RALEIGH-NC,Batteries,AAP,Digital Radio-Speed Perk,1989120,0.004598627,4,0.15,1,981,weekly
overall,SALT LAKE CITY-UT,Batteries,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,86,weekly
overall,SAN ANTONIO-TX,Batteries,AAP,Digital Radio-Speed Perk,804419,0.004598627,4,0.15,1,260,weekly
overall,SEATTLE-WA,Batteries,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,86,weekly
overall,ST. LOUIS-MO,Batteries,AAP,Digital Radio-Speed Perk,677362,0.004598627,4,0.15,1,231,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Batteries,AAP,Digital Radio-Speed Perk,3979141,0.004598627,4,0.15,1,1832,weekly
overall,WASHINGTON D.C.,Batteries,AAP,Digital Radio-Speed Perk,3892808,0.004598627,4,0.15,1,1693,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Brakes,AAP,Digital Radio-Speed Perk,52544,0.004598627,4,0.15,1,33,weekly
overall,ATLANTA-GA,Brakes,AAP,Digital Radio-Speed Perk,3961957,0.004598627,4,0.15,1,5099,weekly
overall,AUSTIN-TX,Brakes,AAP,Digital Radio-Speed Perk,712072,0.004598627,4,0.15,1,775,weekly
overall,BALTIMORE-MD,Brakes,AAP,Digital Radio-Speed Perk,1475142,0.004598627,4,0.15,1,3782,weekly
overall,BIRMINGHAM-AL,Brakes,AAP,Digital Radio-Speed Perk,1349695,0.004598627,4,0.15,1,1609,weekly
overall,BOSTON-MA,Brakes,AAP,Digital Radio-Speed Perk,1961317,0.004598627,4,0.15,1,4505,weekly
overall,CHARLOTTE-NC,Brakes,AAP,Digital Radio-Speed Perk,2253295,0.004598627,4,0.15,1,2571,weekly
overall,CHICAGO-IL,Brakes,AAP,Digital Radio-Speed Perk,2692147,0.004598627,4,0.15,1,5722,weekly
overall,DALLAS-TX,Brakes,AAP,Digital Radio-Speed Perk,1148339,0.004598627,4,0.15,1,1754,weekly
overall,DENVER-CO,Brakes,AAP,Digital Radio-Speed Perk,1469320,0.004598627,4,0.15,1,1833,weekly
overall,DETROIT-MI,Brakes,AAP,Digital Radio-Speed Perk,925499,0.004598627,4,0.15,1,1941,weekly
overall,HARRISBURG/LANCASTER-PA,Brakes,AAP,Digital Radio-Speed Perk,1522325,0.004598627,4,0.15,1,2797,weekly
overall,NEW HAVEN/HARTFORD-CT,Brakes,AAP,Digital Radio-Speed Perk,1485704,0.004598627,4,0.15,1,3301,weekly
overall,HOUSTON-TX,Brakes,AAP,Digital Radio-Speed Perk,1638537,0.004598627,4,0.15,1,1722,weekly
overall,INDIANAPOLIS-IN,Brakes,AAP,Digital Radio-Speed Perk,1004849,0.004598627,4,0.15,1,1662,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Brakes,AAP,Digital Radio-Speed Perk,3226959,0.004598627,4,0.15,1,3675,weekly
overall,MILWAUKEE-WI,Brakes,AAP,Digital Radio-Speed Perk,1020683,0.004598627,4,0.15,1,2341,weekly
overall,TRI-STATE-NY/NJ/CT,Brakes,AAP,Digital Radio-Speed Perk,3773757,0.004598627,4,0.15,1,8458,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Brakes,AAP,Digital Radio-Speed Perk,3177126,0.004598627,4,0.15,1,3397,weekly
overall,PHILADELPHIA-PA,Brakes,AAP,Digital Radio-Speed Perk,2805660,0.004598627,4,0.15,1,5924,weekly
overall,PITTSBURGH-PA,Brakes,AAP,Digital Radio-Speed Perk,2109020,0.004598627,4,0.15,1,5658,weekly
overall,PORTLAND-OR,Brakes,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,351,weekly
overall,RALEIGH-NC,Brakes,AAP,Digital Radio-Speed Perk,1989120,0.004598627,4,0.15,1,2424,weekly
overall,SALT LAKE CITY-UT,Brakes,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,351,weekly
overall,SAN ANTONIO-TX,Brakes,AAP,Digital Radio-Speed Perk,804419,0.004598627,4,0.15,1,664,weekly
overall,SEATTLE-WA,Brakes,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,351,weekly
overall,ST. LOUIS-MO,Brakes,AAP,Digital Radio-Speed Perk,677362,0.004598627,4,0.15,1,1013,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Brakes,AAP,Digital Radio-Speed Perk,3979141,0.004598627,4,0.15,1,4314,weekly
overall,WASHINGTON D.C.,Brakes,AAP,Digital Radio-Speed Perk,3892808,0.004598627,4,0.15,1,8123,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Other,AAP,Digital Radio-Speed Perk,52544,0.004598627,4,0.15,1,141,weekly
overall,ATLANTA-GA,Other,AAP,Digital Radio-Speed Perk,3961957,0.004598627,4,0.15,1,15877,weekly
overall,AUSTIN-TX,Other,AAP,Digital Radio-Speed Perk,712072,0.004598627,4,0.15,1,2654,weekly
overall,BALTIMORE-MD,Other,AAP,Digital Radio-Speed Perk,1475142,0.004598627,4,0.15,1,7426,weekly
overall,BIRMINGHAM-AL,Other,AAP,Digital Radio-Speed Perk,1349695,0.004598627,4,0.15,1,4611,weekly
overall,BOSTON-MA,Other,AAP,Digital Radio-Speed Perk,1961317,0.004598627,4,0.15,1,9651,weekly
overall,CHARLOTTE-NC,Other,AAP,Digital Radio-Speed Perk,2253295,0.004598627,4,0.15,1,8542,weekly
overall,CHICAGO-IL,Other,AAP,Digital Radio-Speed Perk,2692147,0.004598627,4,0.15,1,10117,weekly
overall,DALLAS-TX,Other,AAP,Digital Radio-Speed Perk,1148339,0.004598627,4,0.15,1,4478,weekly
overall,DENVER-CO,Other,AAP,Digital Radio-Speed Perk,1469320,0.004598627,4,0.15,1,6343,weekly
overall,DETROIT-MI,Other,AAP,Digital Radio-Speed Perk,925499,0.004598627,4,0.15,1,3727,weekly
overall,HARRISBURG/LANCASTER-PA,Other,AAP,Digital Radio-Speed Perk,1522325,0.004598627,4,0.15,1,5840,weekly
overall,NEW HAVEN/HARTFORD-CT,Other,AAP,Digital Radio-Speed Perk,1485704,0.004598627,4,0.15,1,5905,weekly
overall,HOUSTON-TX,Other,AAP,Digital Radio-Speed Perk,1638537,0.004598627,4,0.15,1,6826,weekly
overall,INDIANAPOLIS-IN,Other,AAP,Digital Radio-Speed Perk,1004849,0.004598627,4,0.15,1,3234,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Other,AAP,Digital Radio-Speed Perk,3226959,0.004598627,4,0.15,1,17351,weekly
overall,MILWAUKEE-WI,Other,AAP,Digital Radio-Speed Perk,1020683,0.004598627,4,0.15,1,3172,weekly
overall,TRI-STATE-NY/NJ/CT,Other,AAP,Digital Radio-Speed Perk,3773757,0.004598627,4,0.15,1,20896,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Other,AAP,Digital Radio-Speed Perk,3177126,0.004598627,4,0.15,1,12811,weekly
overall,PHILADELPHIA-PA,Other,AAP,Digital Radio-Speed Perk,2805660,0.004598627,4,0.15,1,12518,weekly
overall,PITTSBURGH-PA,Other,AAP,Digital Radio-Speed Perk,2109020,0.004598627,4,0.15,1,8883,weekly
overall,PORTLAND-OR,Other,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,896,weekly
overall,RALEIGH-NC,Other,AAP,Digital Radio-Speed Perk,1989120,0.004598627,4,0.15,1,8134,weekly
overall,SALT LAKE CITY-UT,Other,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,896,weekly
overall,SAN ANTONIO-TX,Other,AAP,Digital Radio-Speed Perk,804419,0.004598627,4,0.15,1,2891,weekly
overall,SEATTLE-WA,Other,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,896,weekly
overall,ST. LOUIS-MO,Other,AAP,Digital Radio-Speed Perk,677362,0.004598627,4,0.15,1,2573,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Other,AAP,Digital Radio-Speed Perk,3979141,0.004598627,4,0.15,1,15950,weekly
overall,WASHINGTON D.C.,Other,AAP,Digital Radio-Speed Perk,3892808,0.004598627,4,0.15,1,20000,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Parts,AAP,Digital Radio-Speed Perk,52544,0.004598627,4,0.15,1,156,weekly
overall,ATLANTA-GA,Parts,AAP,Digital Radio-Speed Perk,3961957,0.004598627,4,0.15,1,11794,weekly
overall,AUSTIN-TX,Parts,AAP,Digital Radio-Speed Perk,712072,0.004598627,4,0.15,1,2120,weekly
overall,BALTIMORE-MD,Parts,AAP,Digital Radio-Speed Perk,1475142,0.004598627,4,0.15,1,4391,weekly
overall,BIRMINGHAM-AL,Parts,AAP,Digital Radio-Speed Perk,1349695,0.004598627,4,0.15,1,4018,weekly
overall,BOSTON-MA,Parts,AAP,Digital Radio-Speed Perk,1961317,0.004598627,4,0.15,1,5839,weekly
overall,CHARLOTTE-NC,Parts,AAP,Digital Radio-Speed Perk,2253295,0.004598627,4,0.15,1,6708,weekly
overall,CHICAGO-IL,Parts,AAP,Digital Radio-Speed Perk,2692147,0.004598627,4,0.15,1,8014,weekly
overall,DALLAS-TX,Parts,AAP,Digital Radio-Speed Perk,1148339,0.004598627,4,0.15,1,3418,weekly
overall,DENVER-CO,Parts,AAP,Digital Radio-Speed Perk,1469320,0.004598627,4,0.15,1,4374,weekly
overall,DETROIT-MI,Parts,AAP,Digital Radio-Speed Perk,925499,0.004598627,4,0.15,1,2755,weekly
overall,HARRISBURG/LANCASTER-PA,Parts,AAP,Digital Radio-Speed Perk,1522325,0.004598627,4,0.15,1,4532,weekly
overall,NEW HAVEN/HARTFORD-CT,Parts,AAP,Digital Radio-Speed Perk,1485704,0.004598627,4,0.15,1,4423,weekly
overall,HOUSTON-TX,Parts,AAP,Digital Radio-Speed Perk,1638537,0.004598627,4,0.15,1,4878,weekly
overall,INDIANAPOLIS-IN,Parts,AAP,Digital Radio-Speed Perk,1004849,0.004598627,4,0.15,1,2991,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Parts,AAP,Digital Radio-Speed Perk,3226959,0.004598627,4,0.15,1,9606,weekly
overall,MILWAUKEE-WI,Parts,AAP,Digital Radio-Speed Perk,1020683,0.004598627,4,0.15,1,3038,weekly
overall,TRI-STATE-NY/NJ/CT,Parts,AAP,Digital Radio-Speed Perk,3773757,0.004598627,4,0.15,1,11234,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Parts,AAP,Digital Radio-Speed Perk,3177126,0.004598627,4,0.15,1,9458,weekly
overall,PHILADELPHIA-PA,Parts,AAP,Digital Radio-Speed Perk,2805660,0.004598627,4,0.15,1,8352,weekly
overall,PITTSBURGH-PA,Parts,AAP,Digital Radio-Speed Perk,2109020,0.004598627,4,0.15,1,6278,weekly
overall,PORTLAND-OR,Parts,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,684,weekly
overall,RALEIGH-NC,Parts,AAP,Digital Radio-Speed Perk,1989120,0.004598627,4,0.15,1,5921,weekly
overall,SALT LAKE CITY-UT,Parts,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,684,weekly
overall,SAN ANTONIO-TX,Parts,AAP,Digital Radio-Speed Perk,804419,0.004598627,4,0.15,1,2395,weekly
overall,SEATTLE-WA,Parts,AAP,Digital Radio-Speed Perk,229668,0.004598627,4,0.15,1,684,weekly
overall,ST. LOUIS-MO,Parts,AAP,Digital Radio-Speed Perk,677362,0.004598627,4,0.15,1,2016,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Parts,AAP,Digital Radio-Speed Perk,3979141,0.004598627,4,0.15,1,11846,weekly
overall,WASHINGTON D.C.,Parts,AAP,Digital Radio-Speed Perk,3892808,0.004598627,4,0.15,1,11589,weekly
